Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,-103.251,-100.584,0,bottom
C2,0.1uF,C_0805_2012Metric,-97.917,-93.091,90,bottom
C3,0.1uF,C_0805_2012Metric,-93.98,-102.997,180,bottom
C4,0.1uF,C_0805_2012Metric,-85.471,-99.06,-90,bottom
C5,22pF,C_0805_2012Metric,-95.123,-107.696,90,bottom
C6,22pF,C_0805_2012Metric,-87.757,-107.823,90,bottom
C7,10uF,C_0805_2012Metric,-103.251,-98.044,180,bottom
C8,0.1uF,C_0805_2012Metric,-88.265,-90.297,0,bottom
C9,0.1uF,C_0805_2012Metric,-96.266,-90.297,180,bottom
D1,SOD-123,D_SOD-123,-18.25625,-26.19375,90,bottom
D2,SOD-123,D_SOD-123,-23.01875,-45.24375,90,bottom
D3,SOD-123,D_SOD-123,-25.4,-64.29375,90,bottom
D4,SOD-123,D_SOD-123,-30.1625,-83.34375,90,bottom
D5,SOD-123,D_SOD-123,-20.6375,-102.39375,90,bottom
D6,SOD-123,D_SOD-123,-37.30625,-26.19375,90,bottom
D7,SOD-123,D_SOD-123,-46.83125,-45.24375,90,bottom
D8,SOD-123,D_SOD-123,-51.59375,-64.29375,90,bottom
D9,SOD-123,D_SOD-123,-61.11875,-83.34375,90,bottom
D10,SOD-123,D_SOD-123,-63.5,-102.39375,90,bottom
D11,SOD-123,D_SOD-123,-56.35625,-26.19375,90,bottom
D12,SOD-123,D_SOD-123,-65.88125,-45.24375,90,bottom
D13,SOD-123,D_SOD-123,-70.64375,-64.29375,90,bottom
D14,SOD-123,D_SOD-123,-80.16875,-83.34375,90,bottom
D15,SOD-123,D_SOD-123,-75.40625,-26.19375,90,bottom
D16,SOD-123,D_SOD-123,-84.93125,-45.24375,90,bottom
D17,SOD-123,D_SOD-123,-89.69375,-64.29375,90,bottom
D18,SOD-123,D_SOD-123,-99.21875,-83.34375,90,bottom
D19,SOD-123,D_SOD-123,-94.45625,-26.19375,90,bottom
D20,SOD-123,D_SOD-123,-103.98125,-45.24375,90,bottom
D21,SOD-123,D_SOD-123,-108.74375,-64.29375,90,bottom
D22,SOD-123,D_SOD-123,-118.26875,-83.40625,90,bottom
D23,SOD-123,D_SOD-123,-113.50625,-26.19375,90,bottom
D24,SOD-123,D_SOD-123,-123.03125,-45.24375,90,bottom
D25,SOD-123,D_SOD-123,-127.79375,-64.29375,90,bottom
D26,SOD-123,D_SOD-123,-137.31875,-83.34375,90,bottom
D27,SOD-123,D_SOD-123,-134.9375,-102.39375,90,bottom
D28,SOD-123,D_SOD-123,-132.55625,-26.19375,90,bottom
D29,SOD-123,D_SOD-123,-142.08125,-45.24375,90,bottom
D30,SOD-123,D_SOD-123,-146.84375,-64.29375,90,bottom
D31,SOD-123,D_SOD-123,-156.36875,-83.34375,90,bottom
D32,SOD-123,D_SOD-123,-151.60625,-26.19375,90,bottom
D33,SOD-123,D_SOD-123,-161.13125,-45.24375,90,bottom
D34,SOD-123,D_SOD-123,-165.89375,-64.29375,90,bottom
D35,SOD-123,D_SOD-123,-175.41875,-83.34375,90,bottom
D36,SOD-123,D_SOD-123,-170.65625,-26.19375,90,bottom
D37,SOD-123,D_SOD-123,-180.18125,-45.24375,90,bottom
D38,SOD-123,D_SOD-123,-184.94375,-64.29375,90,bottom
D39,SOD-123,D_SOD-123,-194.46875,-83.34375,90,bottom
D40,SOD-123,D_SOD-123,-206.375,-102.39375,90,bottom
D41,SOD-123,D_SOD-123,-189.70625,-26.19375,90,bottom
D42,SOD-123,D_SOD-123,-199.23125,-45.24375,90,bottom
D43,SOD-123,D_SOD-123,-203.99375,-64.29375,90,bottom
D44,SOD-123,D_SOD-123,-213.51875,-83.34375,90,bottom
D45,SOD-123,D_SOD-123,-244.475,-102.39375,90,bottom
D46,SOD-123,D_SOD-123,-208.75625,-26.19375,90,bottom
D47,SOD-123,D_SOD-123,-218.28125,-45.24375,90,bottom
D48,SOD-123,D_SOD-123,-223.04375,-64.29375,90,bottom
D49,SOD-123,D_SOD-123,-232.56875,-83.34375,90,bottom
D50,SOD-123,D_SOD-123,-265.90625,-102.39375,90,bottom
D51,SOD-123,D_SOD-123,-227.80625,-26.19375,90,bottom
D52,SOD-123,D_SOD-123,-237.33125,-45.24375,90,bottom
D53,SOD-123,D_SOD-123,-242.09375,-64.29375,90,bottom
D54,SOD-123,D_SOD-123,-258.7625,-83.34375,90,bottom
D55,SOD-123,D_SOD-123,-284.95625,-102.39375,90,bottom
D56,SOD-123,D_SOD-123,-246.85625,-26.19375,90,bottom
D57,SOD-123,D_SOD-123,-256.38125,-45.24375,90,bottom
D58,SOD-123,D_SOD-123,-273.05,-64.29375,90,bottom
D59,SOD-123,D_SOD-123,-284.95625,-83.34375,90,bottom
D60,SOD-123,D_SOD-123,-301.117,-106.299,90,bottom
D61,SOD-123,D_SOD-123,-275.43125,-26.19375,90,bottom
D62,SOD-123,D_SOD-123,-280.19375,-45.24375,90,bottom
D63,SOD-123,D_SOD-123,-301.117,-49.022,90,bottom
D64,SOD-123,D_SOD-123,-301.117,-68.199,90,bottom
D65,SOD-123,D_SOD-123,-301.117,-87.249,90,bottom
F1,500mA,Fuse_1206_3216Metric,-107.696,-97.155,180,bottom
J2,JST SH 4-pin,JST-SR-4,-119.236,-92.837,90,bottom
R1,22,R_0805_2012Metric,-103.251,-93.98,180,bottom
R2,22,R_0805_2012Metric,-103.251,-91.948,180,bottom
R3,10k,R_0805_2012Metric,-84.582,-91.948,90,bottom
R4,10k,R_0805_2012Metric,-97.917,-105.156,0,bottom
SW1,Reset,SKQG-1155865,-103.4796,-107.0356,-90,bottom
U1,ATmega32U4-M,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,-91.649,-95.9,180,bottom
U2,SRV05-4,SOT-23-6,-109.0676,-92.837,90,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,-91.44,-107.696,40,bottom
